integrated,study_material_rating,faculty_rating,study_hours,fees,competitiveness,score_tenth,exam_mode,mains_clear
Yes,4,3,2,400000,5,92.8,Offline,No
Yes,3,3,1,250000,4,78,Offline,No
Yes,4,4,1,250000,5,92,Offline,No
Yes,1,1,0,500000,5,95,Offline,No
Yes,4,4,15,200000,4,95,Online,Yes
Yes,3,1,8,250000,5,36,Online,Yes
Yes,2,1,0,500000,3,94,Online,No
Yes,3,2,1,600000,4,90.8,Offline,No
Yes,3,3,1,100000,3,95,Offline,No
Yes,3,5,8,60000,5,91,Offline,Yes
Yes,4,5,2,400000,5,93,Online,No
Yes,4,4,2,200000,3,84,Online,No
No,2,2,0,0,3,90,Offline,No
Yes,3,2,7,200000,3,88,Online,No
No,3,4,1,70000,4,94.4,Offline,No
Yes,3,2,10,400000,3,95.33,Online,Yes
Yes,4,4,2,300000,5,90,Online,No
Yes,3,3,2,150000,3,94.2,Offline,No
No,3,3,0,0,1,92,Offline,No
No,4,3,2,200000,4,95,Offline,Yes
Yes,4,4,1,250000,5,92,Online,No
Yes,4,5,4,400000,5,93,Online,Yes
No,4,5,4,175000,5,97,Offline,Yes
Yes,3,3,1,250000,3,86,Online,No
Yes,2,2,5,300000,5,95,Offline,No
Yes,2,3,3,450000,2,85,Offline,No
No,2,3,3,200000,3,90,Offline,No
Yes,4,4,0,300000,3,87,Offline,No
Yes,5,1,3,550000,5,94.8,Online,Yes
No,2,2,0,0,1,85,Online,No
Yes,2,3,10,150000,3,88.2,Offline,Yes
Yes,3,2,3,200000,3,85,Online,No
Yes,4,4,2,450000,5,95,Offline,No
Yes,4,3,7,300000,2,95,Offline,Yes
Yes,5,3,3,200000,5,91,Offline,Yes
Yes,2,1,1,500000,5,89,Online,No
No,3,2,1,180000,3,90,Online,No
Yes,4,4,4,400000,3,93.4,Offline,Yes
Yes,4,4,2,200000,5,80,Online,No
Yes,4,4,2,200000,5,95,Offline,Yes
No,4,5,6,23000,5,75.4,Offline,No
Yes,3,2,5,230000,2,92,Offline,No
Yes,4,4,5,70000,5,95,Online,No
Yes,4,4,3,120000,4,95,Online,No
Yes,4,3,6,400000,3,87,Offline,No
Yes,3,3,6,300000,4,95,Online,No
Yes,1,1,0,500000,1,96,Offline,Yes
No,5,5,6,100000,5,69,Offline,Yes
No,4,3,2,200000,5,92,Offline,No
Yes,2,4,1,350000,3,93.4,Online,No
Yes,4,4,3,300000,5,92,Online,No
Yes,3,3,3,220000,3,83,Offline,No
No,4,4,1,175000,2,87.4,Online,No
Yes,3,4,5,300000,5,94,Offline,Yes
Yes,3,4,4,240000,5,92.8,Offline,No
Yes,3,4,4,200000,4,92,Offline,No
No,3,3,2,0,1,84,Offline,Yes
Yes,3,3,6,200000,4,90.6,Online,Yes
Yes,3,3,4,100000,4,85,Offline,No
Yes,1,1,6,120000,1,95,Offline,No
No,3,3,1,15000,1,85,Offline,No
Yes,5,4,13,180000,4,92,Online,Yes
No,2,5,2,100000,2,70,Offline,Yes
Yes,3,2,1,200000,3,90.17,Offline,No
Yes,3,4,0,400000,2,98,Offline,No
Yes,3,4,10,500000,4,95,Offline,Yes
Yes,4,4,3,400000,5,89.8,Offline,Yes
Yes,4,5,3,150000,3,87,Offline,No
Yes,4,5,5,400000,3,93,Online,No
Yes,2,1,1,500000,3,95.8,Offline,Yes
Yes,4,2,1,300000,3,72,Offline,No
